0000000000001010 /* Dir 0:  N = 10 */
0000000000101001 /* Dir 1:  S = 41 */
0000000000101111 /* Dir 2:  val[0] = 47 */
0000000000100000 /* Dir 3:  val[1] = 32 */
0000000000011010 /* Dir 4:  val[2] = 26 */
0000000000000011 /* Dir 5:  val[3] = 3 */
0000000000001011 /* Dir 6:  val[4] = 11 */
0000000000001010 /* Dir 7:  val[5] = 10 */
0000000000101010 /* Dir 8:  val[6] = 42 */
0000000000011000 /* Dir 9:  val[7] = 24 */
0000000000110010 /* Dir 10: val[8] = 50 */
0000000000101011 /* Dir 11: val[9] = 43 */
0000000000000101 /* Dir 12: weight[0] = 5 */
0000000000001010 /* Dir 13: weight[1] = 10 */
0000000000010001 /* Dir 14: weight[2] = 17 */
0000000000001001 /* Dir 15: weight[3] = 9 */
0000000000000011 /* Dir 16: weight[4] = 3 */
0000000000000111 /* Dir 17: weight[5] = 7 */
0000000000000001 /* Dir 18: weight[6] = 1 */
0000000000010100 /* Dir 19: weight[7] = 20 */
0000000000000100 /* Dir 20: weight[8] = 4 */
0000000000000110 /* Dir 21: weight[9] = 6 */
